instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt_hourly,cnt_day,hourly_ratio,cnt_day_scaled
17,2011-01-01,1,0,1,16,0,6,0,2,17.22,21.21,82.0,19.999499999999998,41,52,93,985,0.09441624365482233,0.4925
18,2011-01-01,1,0,1,17,0,6,0,2,18.04,21.97,82.0,19.0012,15,52,67,985,0.06802030456852792,0.4925
19,2011-01-01,1,0,1,18,0,6,0,3,17.22,21.21,88.0,16.997899999999998,9,26,35,985,0.03553299492385787,0.4925
20,2011-01-01,1,0,1,19,0,6,0,3,17.22,21.21,88.0,16.997899999999998,6,31,37,985,0.03756345177664975,0.4925
21,2011-01-01,1,0,1,20,0,6,0,2,16.400000000000002,20.455000000000002,87.0,16.997899999999998,11,25,36,985,0.03654822335025381,0.4925
22,2011-01-01,1,0,1,21,0,6,0,2,16.400000000000002,20.455000000000002,87.0,12.998000000000001,3,31,34,985,0.03451776649746193,0.4925
23,2011-01-01,1,0,1,22,0,6,0,2,16.400000000000002,20.455000000000002,94.0,15.001299999999999,11,17,28,985,0.028426395939086295,0.4925
24,2011-01-01,1,0,1,23,0,6,0,2,18.86,22.725,88.0,19.999499999999998,15,24,39,985,0.03959390862944162,0.4925
25,2011-01-02,1,0,1,0,0,0,0,2,18.86,22.725,88.0,19.999499999999998,4,13,17,801,0.02122347066167291,0.4005
26,2011-01-02,1,0,1,1,0,0,0,2,18.04,21.97,94.0,16.997899999999998,1,16,17,801,0.02122347066167291,0.4005
27,2011-01-02,1,0,1,2,0,0,0,2,17.22,21.21,100.0,19.0012,1,8,9,801,0.011235955056179775,0.4005
28,2011-01-02,1,0,1,3,0,0,0,2,18.86,22.725,94.0,12.998000000000001,2,4,6,801,0.00749063670411985,0.4005
29,2011-01-02,1,0,1,4,0,0,0,2,18.86,22.725,94.0,12.998000000000001,2,1,3,801,0.003745318352059925,0.4005
30,2011-01-02,1,0,1,6,0,0,0,3,17.22,21.21,77.0,19.999499999999998,0,2,2,801,0.0024968789013732834,0.4005
31,2011-01-02,1,0,1,7,0,0,0,2,16.400000000000002,20.455000000000002,76.0,12.998000000000001,0,1,1,801,0.0012484394506866417,0.4005
32,2011-01-02,1,0,1,8,0,0,0,3,16.400000000000002,20.455000000000002,71.0,15.001299999999999,0,8,8,801,0.009987515605493134,0.4005
33,2011-01-02,1,0,1,9,0,0,0,2,15.58,19.695,76.0,15.001299999999999,1,19,20,801,0.024968789013732832,0.4005
34,2011-01-02,1,0,1,10,0,0,0,2,14.76,17.424999999999997,81.0,15.001299999999999,7,46,53,801,0.066167290886392,0.4005
35,2011-01-02,1,0,1,11,0,0,0,2,14.76,16.665,71.0,16.997899999999998,16,54,70,801,0.08739076154806492,0.4005
36,2011-01-02,1,0,1,12,0,0,0,2,14.76,16.665,66.0,19.999499999999998,20,73,93,801,0.11610486891385768,0.4005
37,2011-01-02,1,0,1,13,0,0,0,2,14.76,17.424999999999997,66.0,8.9981,11,64,75,801,0.09363295880149813,0.4005
38,2011-01-02,1,0,1,14,0,0,0,3,14.76,17.424999999999997,76.0,12.998000000000001,4,55,59,801,0.07365792759051186,0.4005
39,2011-01-02,1,0,1,15,0,0,0,3,13.940000000000001,16.665,81.0,11.0014,19,55,74,801,0.09238451935081149,0.4005
40,2011-01-02,1,0,1,16,0,0,0,3,13.940000000000001,16.665,71.0,11.0014,9,67,76,801,0.09488139825218476,0.4005
41,2011-01-02,1,0,1,17,0,0,0,1,13.940000000000001,16.665,56.99999999999999,12.998000000000001,7,58,65,801,0.08114856429463171,0.4005
42,2011-01-02,1,0,1,18,0,0,0,2,14.76,16.665,46.0,22.0028,10,43,53,801,0.066167290886392,0.4005
43,2011-01-02,1,0,1,19,0,0,0,1,13.120000000000001,14.395,42.0,30.002599999999997,1,29,30,801,0.03745318352059925,0.4005
44,2011-01-02,1,0,1,20,0,0,0,1,12.299999999999999,13.635,39.0,23.9994,5,17,22,801,0.02746566791510612,0.4005
45,2011-01-02,1,0,1,21,0,0,0,1,10.66,11.365,44.0,22.0028,11,20,31,801,0.03870162297128589,0.4005
46,2011-01-02,1,0,1,22,0,0,0,1,9.84,10.605,44.0,19.999499999999998,0,9,9,801,0.011235955056179775,0.4005
47,2011-01-02,1,0,1,23,0,0,0,1,9.02,11.365,47.0,11.0014,0,8,8,801,0.009987515605493134,0.4005
48,2011-01-03,1,0,1,0,0,1,1,1,9.02,9.85,44.0,23.9994,0,5,5,1349,0.0037064492216456633,0.6745
49,2011-01-03,1,0,1,1,0,1,1,1,8.200000000000001,8.334999999999999,44.0,27.999299999999998,0,2,2,1349,0.0014825796886582653,0.6745
50,2011-01-03,1,0,1,4,0,1,1,1,6.5600000000000005,6.819999999999999,47.0,26.0027,0,1,1,1349,0.0007412898443291327,0.6745
51,2011-01-03,1,0,1,5,0,1,1,1,6.5600000000000005,6.819999999999999,47.0,19.0012,0,3,3,1349,0.002223869532987398,0.6745
52,2011-01-03,1,0,1,6,0,1,1,1,5.74,5.305,50.0,26.0027,0,30,30,1349,0.02223869532987398,0.6745
53,2011-01-03,1,0,1,7,0,1,1,1,5.74,6.819999999999999,50.0,12.998000000000001,1,63,64,1349,0.04744255003706449,0.6745
54,2011-01-03,1,0,1,8,0,1,1,1,5.74,6.0600000000000005,50.0,19.0012,1,153,154,1349,0.11415863602668644,0.6745
55,2011-01-03,1,0,1,9,0,1,1,1,6.5600000000000005,6.819999999999999,43.0,26.0027,7,81,88,1349,0.06523350630096368,0.6745
56,2011-01-03,1,0,1,10,0,1,1,1,7.38,8.334999999999999,43.0,16.997899999999998,11,33,44,1349,0.03261675315048184,0.6745
57,2011-01-03,1,0,1,11,0,1,1,1,8.200000000000001,9.09,40.0,22.0028,10,41,51,1349,0.03780578206078577,0.6745
58,2011-01-03,1,0,1,12,0,1,1,1,9.02,10.605,35.0,19.999499999999998,13,48,61,1349,0.0452186805040771,0.6745
59,2011-01-03,1,0,1,13,0,1,1,1,9.84,10.605,35.0,19.0012,8,53,61,1349,0.0452186805040771,0.6745
60,2011-01-03,1,0,1,14,0,1,1,1,10.66,12.120000000000001,30.0,19.0012,11,66,77,1349,0.05707931801334322,0.6745
61,2011-01-03,1,0,1,15,0,1,1,1,10.66,12.120000000000001,30.0,16.997899999999998,14,58,72,1349,0.05337286879169755,0.6745
62,2011-01-03,1,0,1,16,0,1,1,1,10.66,12.120000000000001,30.0,16.997899999999998,9,67,76,1349,0.056338028169014086,0.6745
63,2011-01-03,1,0,1,17,0,1,1,1,9.84,11.365,30.0,15.001299999999999,11,146,157,1349,0.11638250555967383,0.6745
64,2011-01-03,1,0,1,18,0,1,1,1,9.84,12.879999999999999,32.0,7.0015,9,148,157,1349,0.11638250555967383,0.6745
65,2011-01-03,1,0,1,19,0,1,1,1,8.200000000000001,12.879999999999999,47.0,0.0,8,102,110,1349,0.08154188287620459,0.6745
66,2011-01-03,1,0,1,20,0,1,1,1,8.200000000000001,11.365,47.0,7.0015,3,49,52,1349,0.0385470719051149,0.6745
67,2011-01-03,1,0,1,21,0,1,1,1,7.38,9.85,64.0,8.9981,3,49,52,1349,0.0385470719051149,0.6745
68,2011-01-03,1,0,1,22,0,1,1,1,5.74,7.575,69.0,8.9981,0,20,20,1349,0.014825796886582653,0.6745
69,2011-01-03,1,0,1,23,0,1,1,1,7.38,10.605,55.00000000000001,7.0015,1,11,12,1349,0.008895478131949592,0.6745
70,2011-01-04,1,0,1,0,0,2,1,1,6.5600000000000005,9.09,55.00000000000001,7.0015,0,5,5,1562,0.003201024327784891,0.781
71,2011-01-04,1,0,1,1,0,2,1,1,6.5600000000000005,9.09,59.0,7.0015,0,2,2,1562,0.0012804097311139564,0.781
72,2011-01-04,1,0,1,2,0,2,1,1,5.74,7.575,63.0,8.9981,0,1,1,1562,0.0006402048655569782,0.781
73,2011-01-04,1,0,1,4,0,2,1,1,5.74,9.09,63.0,6.0032,0,2,2,1562,0.0012804097311139564,0.781
74,2011-01-04,1,0,1,5,0,2,1,1,4.92,7.575,68.0,7.0015,0,4,4,1562,0.002560819462227913,0.781
75,2011-01-04,1,0,1,6,0,2,1,1,4.92,7.575,74.0,7.0015,0,36,36,1562,0.023047375160051217,0.781
76,2011-01-04,1,0,1,7,0,2,1,1,4.92,7.575,74.0,8.9981,2,92,94,1562,0.06017925736235595,0.781
77,2011-01-04,1,0,1,8,0,2,1,1,5.74,7.575,69.0,11.0014,2,177,179,1562,0.11459667093469911,0.781
78,2011-01-04,1,0,1,9,0,2,1,1,6.5600000000000005,7.575,64.0,15.001299999999999,2,98,100,1562,0.06402048655569782,0.781
79,2011-01-04,1,0,1,10,0,2,1,2,6.5600000000000005,6.819999999999999,69.0,22.0028,5,37,42,1562,0.026888604353393086,0.781
80,2011-01-04,1,0,1,11,0,2,1,1,9.02,10.605,51.0,19.999499999999998,7,50,57,1562,0.03649167733674776,0.781
81,2011-01-04,1,0,1,12,0,2,1,1,9.02,11.365,51.0,11.0014,12,66,78,1562,0.0499359795134443,0.781
82,2011-01-04,1,0,1,13,0,2,1,1,9.84,11.365,56.00000000000001,12.998000000000001,18,79,97,1562,0.06209987195902689,0.781
83,2011-01-04,1,0,1,14,0,2,1,1,10.66,12.879999999999999,52.0,15.001299999999999,9,54,63,1562,0.04033290653008963,0.781
84,2011-01-04,1,0,1,15,0,2,1,1,11.48,13.635,52.0,16.997899999999998,17,48,65,1562,0.041613316261203584,0.781
85,2011-01-04,1,0,1,16,0,2,1,1,12.299999999999999,14.395,49.0,16.997899999999998,15,68,83,1562,0.05313700384122919,0.781
86,2011-01-04,1,0,1,17,0,2,1,1,11.48,13.635,48.0,15.001299999999999,10,202,212,1562,0.1357234314980794,0.781
87,2011-01-04,1,0,1,18,0,2,1,1,10.66,12.879999999999999,48.0,12.998000000000001,3,179,182,1562,0.11651728553137004,0.781
88,2011-01-04,1,0,1,19,0,2,1,1,9.84,12.879999999999999,48.0,7.0015,2,110,112,1562,0.07170294494238157,0.781
89,2011-01-04,1,0,1,20,0,2,1,1,9.84,12.879999999999999,48.0,7.0015,1,53,54,1562,0.034571062740076826,0.781
90,2011-01-04,1,0,1,21,0,2,1,1,9.02,13.635,64.0,0.0,0,48,48,1562,0.030729833546734954,0.781
91,2011-01-04,1,0,1,22,0,2,1,1,9.02,12.879999999999999,64.0,6.0032,1,34,35,1562,0.02240717029449424,0.781
92,2011-01-04,1,0,1,23,0,2,1,1,8.200000000000001,11.365,69.0,6.0032,2,9,11,1562,0.007042253521126761,0.781
93,2011-01-05,1,0,1,0,0,3,1,1,8.200000000000001,12.879999999999999,64.0,0.0,0,6,6,1600,0.00375,0.8
94,2011-01-05,1,0,1,1,0,3,1,1,6.5600000000000005,9.85,74.0,6.0032,0,6,6,1600,0.00375,0.8
95,2011-01-05,1,0,1,2,0,3,1,1,6.5600000000000005,9.85,74.0,6.0032,0,2,2,1600,0.00125,0.8
96,2011-01-05,1,0,1,4,0,3,1,1,9.84,11.365,48.0,15.001299999999999,0,2,2,1600,0.00125,0.8
97,2011-01-05,1,0,1,5,0,3,1,1,9.02,11.365,47.0,11.0014,0,3,3,1600,0.001875,0.8
98,2011-01-05,1,0,1,6,0,3,1,1,8.200000000000001,9.85,47.0,15.001299999999999,0,33,33,1600,0.020625,0.8
99,2011-01-05,1,0,1,7,0,3,1,1,7.38,9.09,43.0,12.998000000000001,1,87,88,1600,0.055,0.8
100,2011-01-05,1,0,1,8,0,3,1,1,8.200000000000001,9.09,40.0,19.999499999999998,3,192,195,1600,0.121875,0.8
101,2011-01-05,1,0,1,9,0,3,1,1,9.02,9.85,37.0,22.0028,6,109,115,1600,0.071875,0.8
102,2011-01-05,1,0,1,10,0,3,1,1,9.02,9.85,37.0,22.0028,4,53,57,1600,0.035625,0.8
103,2011-01-05,1,0,1,11,0,3,1,1,10.66,11.365,33.0,22.0028,12,34,46,1600,0.02875,0.8
104,2011-01-05,1,0,1,12,0,3,1,1,10.66,11.365,33.0,22.0028,5,74,79,1600,0.049375,0.8
105,2011-01-05,1,0,1,13,0,3,1,1,11.48,12.879999999999999,30.0,19.999499999999998,6,65,71,1600,0.044375,0.8
106,2011-01-05,1,0,1,14,0,3,1,1,12.299999999999999,14.395,28.000000000000004,12.998000000000001,10,52,62,1600,0.03875,0.8
107,2011-01-05,1,0,1,15,0,3,1,1,12.299999999999999,14.395,28.000000000000004,12.998000000000001,7,55,62,1600,0.03875,0.8
108,2011-01-05,1,0,1,16,0,3,1,1,12.299999999999999,15.909999999999998,28.000000000000004,6.0032,4,85,89,1600,0.055625,0.8
109,2011-01-05,1,0,1,17,0,3,1,1,9.84,11.365,38.0,12.998000000000001,4,186,190,1600,0.11875,0.8
110,2011-01-05,1,0,1,18,0,3,1,1,9.84,12.120000000000001,38.0,8.9981,3,166,169,1600,0.105625,0.8
111,2011-01-05,1,0,1,19,0,3,1,1,9.84,12.879999999999999,38.0,7.0015,5,127,132,1600,0.0825,0.8
112,2011-01-05,1,0,1,20,0,3,1,1,9.02,11.365,47.0,11.0014,7,82,89,1600,0.055625,0.8
113,2011-01-05,1,0,1,21,0,3,1,1,8.200000000000001,9.85,51.0,12.998000000000001,3,40,43,1600,0.026875,0.8
114,2011-01-05,1,0,1,22,0,3,1,1,7.38,9.85,55.00000000000001,8.9981,1,41,42,1600,0.02625,0.8
115,2011-01-05,1,0,1,23,0,3,1,1,8.200000000000001,12.879999999999999,47.0,0.0,1,18,19,1600,0.011875,0.8
116,2011-01-06,1,0,1,0,0,4,1,1,7.38,12.120000000000001,55.00000000000001,0.0,0,11,11,1606,0.00684931506849315,0.803
117,2011-01-06,1,0,1,1,0,4,1,1,6.5600000000000005,11.365,64.0,0.0,0,4,4,1606,0.0024906600249066002,0.803
118,2011-01-06,1,0,1,2,0,4,1,1,6.5600000000000005,11.365,64.0,0.0,0,2,2,1606,0.0012453300124533001,0.803
119,2011-01-06,1,0,1,4,0,4,1,2,6.5600000000000005,9.85,64.0,6.0032,0,1,1,1606,0.0006226650062266501,0.803
120,2011-01-06,1,0,1,5,0,4,1,2,5.74,9.09,69.0,6.0032,0,4,4,1606,0.0024906600249066002,0.803
121,2011-01-06,1,0,1,6,0,4,1,2,5.74,8.334999999999999,63.0,7.0015,0,36,36,1606,0.0224159402241594,0.803
122,2011-01-06,1,0,1,7,0,4,1,2,6.5600000000000005,11.365,59.0,0.0,0,95,95,1606,0.059153175591531756,0.803
123,2011-01-06,1,0,1,8,0,4,1,1,6.5600000000000005,11.365,59.0,0.0,3,216,219,1606,0.13636363636363635,0.803
124,2011-01-06,1,0,1,9,0,4,1,2,7.38,12.120000000000001,51.0,0.0,6,116,122,1606,0.0759651307596513,0.803
125,2011-01-06,1,0,1,10,0,4,1,1,8.200000000000001,12.879999999999999,47.0,0.0,3,42,45,1606,0.028019925280199254,0.803
126,2011-01-06,1,0,1,11,0,4,1,1,9.02,12.879999999999999,44.0,6.0032,2,57,59,1606,0.036737235367372355,0.803
127,2011-01-06,1,0,1,12,0,4,1,1,10.66,14.395,35.0,0.0,6,78,84,1606,0.052303860523038606,0.803
128,2011-01-06,1,0,1,13,0,4,1,1,10.66,13.635,35.0,7.0015,12,55,67,1606,0.041718555417185554,0.803
129,2011-01-06,1,0,1,14,0,4,1,1,11.48,13.635,36.0,11.0014,11,59,70,1606,0.043586550435865505,0.803
130,2011-01-06,1,0,1,15,0,4,1,1,11.48,13.635,36.0,0.0,8,54,62,1606,0.038605230386052306,0.803
131,2011-01-06,1,0,1,16,0,4,1,1,10.66,12.879999999999999,38.0,11.0014,12,74,86,1606,0.053549190535491904,0.803
132,2011-01-06,1,0,1,17,0,4,1,1,9.02,11.365,51.0,11.0014,9,163,172,1606,0.10709838107098381,0.803
133,2011-01-06,1,0,1,18,0,4,1,1,9.02,11.365,51.0,8.9981,5,158,163,1606,0.10149439601494396,0.803
134,2011-01-06,1,0,1,19,0,4,1,1,9.02,12.879999999999999,55.00000000000001,6.0032,3,109,112,1606,0.06973848069738481,0.803
135,2011-01-06,1,0,1,20,0,4,1,1,8.200000000000001,10.605,51.0,11.0014,3,66,69,1606,0.04296388542963885,0.803
136,2011-01-06,1,0,1,21,0,4,1,2,9.02,10.605,55.00000000000001,15.001299999999999,0,48,48,1606,0.029887920298879204,0.803
137,2011-01-06,1,0,1,22,0,4,1,2,9.02,10.605,51.0,19.0012,1,51,52,1606,0.0323785803237858,0.803
138,2011-01-06,1,0,1,23,0,4,1,2,8.200000000000001,9.85,59.0,12.998000000000001,4,19,23,1606,0.014321295143212951,0.803
139,2011-01-07,1,0,1,0,0,5,1,2,8.200000000000001,9.85,64.0,12.998000000000001,4,13,17,1510,0.011258278145695364,0.755
140,2011-01-07,1,0,1,1,0,5,1,2,8.200000000000001,9.85,69.0,15.001299999999999,2,5,7,1510,0.004635761589403974,0.755
141,2011-01-07,1,0,1,2,0,5,1,2,8.200000000000001,9.85,69.0,15.001299999999999,0,1,1,1510,0.0006622516556291391,0.755
142,2011-01-07,1,0,1,4,0,5,1,2,8.200000000000001,10.605,69.0,8.9981,0,1,1,1510,0.0006622516556291391,0.755
143,2011-01-07,1,0,1,5,0,5,1,3,9.02,13.635,55.00000000000001,0.0,0,5,5,1510,0.0033112582781456954,0.755
144,2011-01-07,1,0,1,6,0,5,1,2,8.200000000000001,12.879999999999999,69.0,0.0,8,26,34,1510,0.022516556291390728,0.755
145,2011-01-07,1,0,1,7,0,5,1,1,8.200000000000001,10.605,69.0,8.9981,8,76,84,1510,0.05562913907284768,0.755
146,2011-01-07,1,0,1,8,0,5,1,1,8.200000000000001,9.85,51.0,16.997899999999998,20,190,210,1510,0.1390728476821192,0.755
147,2011-01-07,1,0,1,9,0,5,1,1,8.200000000000001,9.09,47.0,19.999499999999998,9,125,134,1510,0.08874172185430464,0.755
148,2011-01-07,1,0,1,10,0,5,1,1,9.02,9.85,37.0,22.0028,16,47,63,1510,0.041721854304635764,0.755
149,2011-01-07,1,0,1,11,0,5,1,2,8.200000000000001,9.85,40.0,15.001299999999999,19,48,67,1510,0.04437086092715232,0.755
150,2011-01-07,1,0,1,12,0,5,1,2,8.200000000000001,9.85,37.0,16.997899999999998,9,50,59,1510,0.0390728476821192,0.755
151,2011-01-07,1,0,1,13,0,5,1,2,8.200000000000001,9.09,37.0,19.0012,9,64,73,1510,0.048344370860927154,0.755
152,2011-01-07,1,0,1,14,0,5,1,2,8.200000000000001,9.85,40.0,16.997899999999998,7,43,50,1510,0.033112582781456956,0.755
153,2011-01-07,1,0,1,15,0,5,1,2,8.200000000000001,10.605,37.0,11.0014,9,63,72,1510,0.04768211920529802,0.755
154,2011-01-07,1,0,1,16,0,5,1,2,8.200000000000001,10.605,37.0,11.0014,5,82,87,1510,0.0576158940397351,0.755
155,2011-01-07,1,0,1,17,0,5,1,2,8.200000000000001,12.879999999999999,37.0,0.0,9,178,187,1510,0.123841059602649,0.755
156,2011-01-07,1,0,1,18,0,5,1,1,8.200000000000001,11.365,40.0,6.0032,7,116,123,1510,0.0814569536423841,0.755
157,2011-01-07,1,0,1,19,0,5,1,1,6.5600000000000005,9.85,55.00000000000001,6.0032,3,92,95,1510,0.06291390728476821,0.755
158,2011-01-07,1,0,1,20,0,5,1,1,7.38,10.605,47.0,7.0015,1,50,51,1510,0.03377483443708609,0.755
159,2011-01-07,1,0,1,21,0,5,1,1,7.38,9.85,47.0,8.9981,0,39,39,1510,0.025827814569536423,0.755
160,2011-01-07,1,0,1,22,0,5,1,2,7.38,9.85,43.0,11.0014,2,34,36,1510,0.02384105960264901,0.755
161,2011-01-07,1,0,1,23,0,5,1,2,7.38,9.85,51.0,11.0014,1,14,15,1510,0.009933774834437087,0.755
162,2011-01-08,1,0,1,0,0,6,0,2,7.38,9.85,51.0,11.0014,1,24,25,959,0.026068821689259645,0.4795
163,2011-01-08,1,0,1,1,0,6,0,2,7.38,10.605,55.00000000000001,6.0032,1,15,16,959,0.016684045881126174,0.4795
164,2011-01-08,1,0,1,2,0,6,0,2,7.38,12.120000000000001,55.00000000000001,0.0,3,13,16,959,0.016684045881126174,0.4795
165,2011-01-08,1,0,1,3,0,6,0,3,7.38,9.85,55.00000000000001,11.0014,0,7,7,959,0.0072992700729927005,0.4795
166,2011-01-08,1,0,1,4,0,6,0,3,7.38,9.85,55.00000000000001,11.0014,0,1,1,959,0.0010427528675703858,0.4795
167,2011-01-08,1,0,1,5,0,6,0,2,6.5600000000000005,8.334999999999999,74.0,11.0014,0,5,5,959,0.005213764337851929,0.4795
168,2011-01-08,1,0,1,6,0,6,0,2,6.5600000000000005,8.334999999999999,74.0,11.0014,0,2,2,959,0.0020855057351407717,0.4795
169,2011-01-08,1,0,1,7,0,6,0,2,6.5600000000000005,9.09,74.0,7.0015,1,8,9,959,0.009384775808133473,0.4795
170,2011-01-08,1,0,1,8,0,6,0,3,6.5600000000000005,9.09,93.0,7.0015,0,15,15,959,0.01564129301355579,0.4795
171,2011-01-08,1,0,1,9,0,6,0,3,6.5600000000000005,9.09,93.0,7.0015,0,20,20,959,0.020855057351407715,0.4795
172,2011-01-08,1,0,1,10,0,6,0,2,7.38,9.85,80.0,11.0014,5,56,61,959,0.06360792492179354,0.4795
173,2011-01-08,1,0,1,11,0,6,0,2,8.200000000000001,9.09,69.0,26.0027,2,60,62,959,0.06465067778936393,0.4795
174,2011-01-08,1,0,1,12,0,6,0,2,8.200000000000001,9.09,59.0,23.9994,8,90,98,959,0.10218978102189781,0.4795
175,2011-01-08,1,0,1,13,0,6,0,1,8.200000000000001,9.09,44.0,22.0028,7,95,102,959,0.10636079249217935,0.4795
176,2011-01-08,1,0,1,14,0,6,0,1,8.200000000000001,8.334999999999999,32.0,32.9975,12,83,95,959,0.09906152241918666,0.4795
177,2011-01-08,1,0,1,15,0,6,0,1,8.200000000000001,8.334999999999999,32.0,30.002599999999997,5,69,74,959,0.07716371220020855,0.4795
178,2011-01-08,1,0,1,16,0,6,0,1,7.38,6.819999999999999,28.999999999999996,30.002599999999997,8,68,76,959,0.07924921793534932,0.4795
179,2011-01-08,1,0,1,17,0,6,0,1,6.5600000000000005,6.0600000000000005,37.0,36.9974,5,64,69,959,0.07194994786235662,0.4795
180,2011-01-08,1,0,1,18,0,6,0,1,5.74,6.0600000000000005,39.0,19.999499999999998,3,52,55,959,0.05735140771637122,0.4795
181,2011-01-08,1,0,1,19,0,6,0,1,5.74,6.0600000000000005,36.0,16.997899999999998,4,26,30,959,0.03128258602711158,0.4795
182,2011-01-08,1,0,1,20,0,6,0,1,4.92,6.0600000000000005,36.0,16.997899999999998,0,28,28,959,0.029197080291970802,0.4795
183,2011-01-08,1,0,1,21,0,6,0,1,4.92,5.305,39.0,23.9994,2,35,37,959,0.03858185610010428,0.4795
184,2011-01-08,1,0,1,22,0,6,0,1,4.92,5.305,36.0,26.0027,1,33,34,959,0.035453597497393116,0.4795
185,2011-01-08,1,0,1,23,0,6,0,1,4.1000000000000005,3.0300000000000002,39.0,30.002599999999997,0,22,22,959,0.022940563086548488,0.4795
186,2011-01-09,1,0,1,0,0,0,0,1,4.1000000000000005,3.7900000000000005,42.0,26.0027,1,24,25,822,0.030413625304136254,0.411
187,2011-01-09,1,0,1,1,0,0,0,1,4.1000000000000005,3.0300000000000002,42.0,31.0009,0,12,12,822,0.014598540145985401,0.411
188,2011-01-09,1,0,1,2,0,0,0,1,4.1000000000000005,3.0300000000000002,46.0,31.0009,0,11,11,822,0.01338199513381995,0.411
189,2011-01-09,1,0,1,3,0,0,0,1,4.1000000000000005,3.7900000000000005,46.0,27.999299999999998,0,4,4,822,0.004866180048661801,0.411
190,2011-01-09,1,0,1,4,0,0,0,1,3.2800000000000002,4.545,53.0,12.998000000000001,0,1,1,822,0.0012165450121654502,0.411
191,2011-01-09,1,0,1,5,0,0,0,1,3.2800000000000002,4.545,53.0,12.998000000000001,0,1,1,822,0.0012165450121654502,0.411
192,2011-01-09,1,0,1,6,0,0,0,1,4.1000000000000005,4.545,49.0,19.0012,0,1,1,822,0.0012165450121654502,0.411
193,2011-01-09,1,0,1,7,0,0,0,1,3.2800000000000002,4.545,53.0,12.998000000000001,1,5,6,822,0.0072992700729927005,0.411
194,2011-01-09,1,0,1,8,0,0,0,1,4.1000000000000005,4.545,49.0,19.0012,0,10,10,822,0.012165450121654502,0.411
195,2011-01-09,1,0,1,9,0,0,0,1,4.92,3.7900000000000005,46.0,35.0008,0,19,19,822,0.023114355231143552,0.411
196,2011-01-09,1,0,1,10,0,0,0,1,5.74,5.305,43.0,26.0027,0,49,49,822,0.05961070559610705,0.411
197,2011-01-09,1,0,1,11,0,0,0,1,6.5600000000000005,6.0600000000000005,40.0,35.0008,2,47,49,822,0.05961070559610705,0.411
198,2011-01-09,1,0,1,12,0,0,0,1,7.38,6.819999999999999,37.0,30.002599999999997,4,79,83,822,0.10097323600973236,0.411
199,2011-01-09,1,0,1,13,0,0,0,1,8.200000000000001,8.334999999999999,34.0,30.002599999999997,6,69,75,822,0.09124087591240876,0.411
200,2011-01-09,1,0,1,14,0,0,0,1,9.02,9.09,32.0,31.0009,8,64,72,822,0.08759124087591241,0.411
201,2011-01-09,1,0,1,15,0,0,0,1,9.02,9.85,35.0,23.9994,5,77,82,822,0.09975669099756691,0.411
202,2011-01-09,1,0,1,16,0,0,0,1,8.200000000000001,8.334999999999999,34.0,30.002599999999997,13,79,92,822,0.11192214111922141,0.411
